#1
double tmy(8761,3)
1364400 293.75 46.0
1368000 293.05 12.0
1371600 292.85 0.0
1375200 292.45 0.0
1378800 291.75 0.0
1382400 291.65 0.0
1386000 291.25 0.0
1389600 290.25 0.0
1393200 289.65 0.0
1396800 289.25 0.0
1400400 289.65 23.0
1404000 290.75 130.0
1407600 292.05 249.0
1411200 293.75 440.0
1414800 295.25 533.0
1418400 296.55 534.0
1422000 297.85 592.0
1425600 297.95 431.0
1429200 297.55 549.0
1432800 297.95 515.0
1436400 298.55 517.0
1440000 298.65 396.0
1443600 298.45 319.0
1447200 298.05 213.0
1450800 297.25 109.0
1454400 295.95 15.0
1458000 294.95 0.0
1461600 294.05 0.0
1465200 293.25 0.0
1468800 293.05 0.0
1472400 292.55 0.0
1476000 291.95 0.0
1479600 291.45 0.0
1483200 291.25 0.0
1486800 291.45 12.0
1490400 292.15 56.0
1494000 294.55 254.0
1497600 297.15 441.0
1501200 299.65 599.0
1504800 301.15 729.0
1508400 302.25 818.0
1512000 303.05 863.0
1515600 303.95 842.0
1519200 304.45 769.0
1522800 304.65 619.0
1526400 304.25 516.0
1530000 303.55 346.0
1533600 302.85 234.0
1537200 301.75 106.0
1540800 299.95 14.0
1544400 298.75 0.0
1548000 297.55 0.0
1551600 296.75 0.0
1555200 296.25 0.0
1558800 296.15 0.0
1562400 295.55 0.0
1566000 295.15 0.0
1569600 295.05 0.0
1573200 294.45 16.0
1576800 293.95 69.0
1580400 294.75 204.0
1584000 297.05 425.0
1587600 296.85 417.0
1591200 296.15 221.0
1594800 298.65 595.0
1598400 299.65 599.0
1602000 297.65 384.0
1605600 299.15 697.0
1609200 299.75 651.0
1612800 299.65 546.0
1616400 299.25 368.0
1620000 298.45 215.0
1623600 297.75 75.0
1627200 296.85 9.0
1630800 295.75 0.0
1634400 294.75 0.0
1638000 294.15 0.0
1641600 294.05 0.0
1645200 292.75 0.0
1648800 292.05 0.0
1652400 291.45 0.0
1656000 291.15 0.0
1659600 291.05 11.0
1663200 291.65 107.0
1666800 291.55 110.0
1670400 291.45 127.0
1674000 290.25 41.0
1677600 290.45 61.0
1681200 291.15 135.0
1684800 292.25 234.0
1688400 291.55 227.0
1692000 295.85 662.0
1695600 296.65 656.0
1699200 296.15 514.0
1702800 295.55 401.0
1706400 294.85 213.0
1710000 293.85 102.0
1713600 292.75 13.0
1717200 291.95 0.0
1720800 291.45 0.0
1724400 291.15 0.0
1728000 290.75 0.0
1731600 290.75 0.0
1735200 290.45 0.0
1738800 290.05 0.0
1742400 289.85 0.0
1746000 289.65 10.0
1749600 289.05 60.0
1753200 289.85 102.0
1756800 290.15 156.0
1760400 290.95 219.0
1764000 290.25 340.0
1767600 293.15 626.0
1771200 290.65 276.0
1774800 291.65 252.0
1778400 292.15 225.0
1782000 292.25 346.0
1785600 293.55 395.0
1789200 293.85 389.0
1792800 293.25 224.0
1796400 292.45 88.0
1800000 291.85 7.0
1803600 291.55 0.0
1807200 291.15 0.0
1810800 290.55 0.0
1814400 290.25 0.0
1818000 289.75 0.0
1821600 289.45 0.0
1825200 289.25 0.0
1828800 288.95 0.0
1832400 288.95 16.0
1836000 289.65 111.0
1839600 290.75 250.0
1843200 291.95 399.0
1846800 292.75 429.0
1850400 293.25 470.0
1854000 294.15 610.0
1857600 294.15 450.0
1861200 294.35 587.0
1864800 294.45 529.0
1868400 295.15 513.0
1872000 294.95 409.0
1875600 294.75 279.0
1879200 293.95 173.0
1882800 293.05 83.0
1886400 291.85 9.0
1890000 291.25 0.0
1893600 290.85 0.0
1897200 290.25 0.0
1900800 290.05 0.0
1904400 290.65 0.0
1908000 290.35 0.0
1911600 290.05 0.0
1915200 289.55 0.0
1918800 289.35 13.0
1922400 290.35 101.0
1926000 291.85 273.0
1929600 293.05 420.0
1933200 294.05 585.0
1936800 294.55 537.0
1940400 292.05 159.0
1944000 292.05 312.0
1947600 292.55 312.0
1951200 293.85 605.0
1954800 293.65 477.0
1958400 292.75 325.0
1962000 291.35 330.0
1965600 290.55 110.0
1969200 290.25 31.0
1972800 289.45 8.0
1976400 289.45 0.0
1980000 287.95 0.0
1983600 288.15 0.0
1987200 288.05 0.0
1990800 288.45 0.0
1994400 288.05 0.0
1998000 288.05 0.0
2001600 287.85 0.0
2005200 287.65 10.0
2008800 288.35 59.0
2012400 289.15 146.0
2016000 290.35 180.0
2019600 291.15 214.0
2023200 291.65 224.0
2026800 291.85 210.0
2030400 292.45 195.0
2034000 293.15 583.0
2037600 294.85 676.0
2041200 292.65 288.0
2044800 292.35 437.0
2048400 293.05 337.0
2052000 291.55 226.0
2055600 291.05 48.0
2059200 290.25 8.0
2062800 290.15 0.0
2066400 289.85 0.0
2070000 289.55 0.0
2073600 289.25 0.0
2077200 288.85 0.0
2080800 288.55 0.0
2084400 287.95 0.0
2088000 287.55 0.0
2091600 288.35 13.0
2095200 289.55 115.0
2098800 290.75 239.0
2102400 292.25 362.0
2106000 293.75 511.0
2109600 295.05 667.0
2113200 295.95 734.0
2116800 296.75 801.0
2120400 296.75 757.0
2124000 297.05 718.0
2127600 297.25 619.0
2131200 297.15 532.0
2134800 296.95 377.0
2138400 296.35 237.0
2142000 295.15 95.0
2145600 293.95 8.0
2149200 293.15 0.0
2152800 292.35 0.0
2156400 291.85 0.0
2160000 291.35 0.0
2163600 291.35 0.0
2167200 290.75 0.0
2170800 290.15 0.0
2174400 289.55 0.0
2178000 289.35 13.0
2181600 289.95 111.0
2185200 291.05 263.0
2188800 292.65 427.0
2192400 294.05 578.0
2196000 295.35 707.0
2199600 296.25 682.0
2203200 297.15 732.0
2206800 298.05 748.0
2210400 298.15 604.0
2214000 298.25 600.0
2217600 298.25 560.0
2221200 297.35 375.0
2224800 295.25 173.0
2228400 293.75 77.0
2232000 292.65 8.0
2235600 292.05 0.0
2239200 291.45 0.0
2242800 291.05 0.0
2246400 290.85 0.0
2250000 291.25 0.0
2253600 290.55 0.0
2257200 290.45 0.0
2260800 289.65 0.0
2264400 289.75 3.0
2268000 290.15 16.0
2271600 290.75 103.0
2275200 291.95 407.0
2278800 292.65 449.0
2282400 293.05 507.0
2286000 292.05 225.0
2289600 293.15 463.0
2293200 293.55 334.0
2296800 295.05 738.0
2300400 294.95 567.0
2304000 290.95 286.0
2307600 290.75 124.0
2311200 290.25 51.0
2314800 290.25 19.0
2318400 290.45 2.0
2322000 290.25 0.0
2325600 289.85 0.0
2329200 289.45 0.0
2332800 288.95 0.0
2336400 289.15 0.0
2340000 288.65 0.0
2343600 287.75 0.0
2347200 287.25 0.0
2350800 287.15 12.0
2354400 288.05 106.0
2358000 289.35 262.0
2361600 290.85 424.0
2365200 292.15 574.0
2368800 292.75 558.0
2372400 293.45 653.0
2376000 294.05 653.0
2379600 294.15 638.0
2383200 295.05 702.0
2386800 295.05 554.0
2390400 294.85 462.0
2394000 294.55 348.0
2397600 293.95 204.0
2401200 292.65 86.0
2404800 291.35 7.0
2408400 290.65 0.0
2412000 289.85 0.0
2415600 289.05 0.0
2419200 288.35 0.0
2422800 287.75 0.0
2426400 287.15 0.0
2430000 286.65 0.0
2433600 286.25 0.0
2437200 286.65 11.0
2440800 287.85 109.0
2444400 289.55 262.0
2448000 291.35 428.0
2451600 292.95 583.0
2455200 294.15 638.0
2458800 295.05 640.0
2462400 295.75 590.0
2466000 294.95 572.0
2469600 293.55 382.0
2473200 293.25 376.0
2476800 292.95 214.0
2480400 293.05 160.0
2484000 293.35 195.0
2487600 292.45 77.0
2491200 291.35 5.0
2494800 290.65 0.0
2498400 289.75 0.0
2502000 289.25 0.0
2505600 288.95 0.0
2509200 289.85 0.0
2512800 289.35 0.0
2516400 289.45 0.0
2520000 289.25 0.0
2523600 289.35 7.0
2527200 290.05 80.0
2530800 291.45 197.0
2534400 292.85 356.0
2538000 293.65 442.0
2541600 294.35 510.0
2545200 291.75 196.0
2548800 294.35 570.0
2552400 293.95 624.0
2556000 294.95 626.0
2559600 295.75 485.0
2563200 296.15 438.0
2566800 295.45 341.0
2570400 294.45 175.0
2574000 293.45 71.0
2577600 292.55 5.0
2581200 291.95 0.0
2584800 291.25 0.0
2588400 290.65 0.0
2592000 289.95 0.0
2595600 289.95 0.0
2599200 289.35 0.0
2602800 288.95 0.0
2606400 288.55 0.0
2610000 288.45 9.0
2613600 289.35 102.0
2617200 290.75 253.0
2620800 292.55 416.0
2624400 294.25 568.0
2628000 295.85 697.0
2631600 296.85 714.0
2635200 297.85 723.0
2638800 297.45 400.0
2642400 297.65 442.0
2646000 298.05 530.0
2649600 297.35 382.0
2653200 296.95 293.0
2656800 295.05 150.0
2660400 293.25 22.0
2664000 292.65 2.0
2667600 292.15 0.0
2671200 291.55 0.0
2674800 290.95 0.0
2678400 290.45 0.0
2682000 291.05 0.0
2685600 290.45 0.0
2689200 290.15 0.0
2692800 289.85 0.0
2696400 289.45 7.0
2700000 290.25 50.0
2703600 291.25 110.0
2707200 292.35 263.0
2710800 293.65 430.0
2714400 294.55 468.0
2718000 295.55 612.0
2721600 295.75 511.0
2725200 295.85 723.0
2728800 295.85 572.0
2732400 295.75 586.0
2736000 295.45 468.0
2739600 294.55 328.0
2743200 293.45 171.0
2746800 292.05 76.0
2750400 290.55 4.0
2754000 289.65 0.0
2757600 288.75 0.0
2761200 288.35 0.0
2764800 288.15 0.0
2768400 287.35 0.0
2772000 286.95 0.0
2775600 286.65 0.0
2779200 286.45 0.0
2782800 286.45 8.0
2786400 287.35 97.0
2790000 288.75 246.0
2793600 290.25 412.0
2797200 291.65 549.0
2800800 292.95 668.0
2804400 294.05 711.0
2808000 294.05 578.0
2811600 295.05 567.0
2815200 294.05 268.0
2818800 294.65 344.0
2822400 294.65 330.0
2826000 294.25 199.0
2829600 293.55 167.0
2833200 292.15 54.0
2836800 290.55 4.0
